claims/text,claims/claimant,claims/claimDate,claims/claimReview/0/publisher/name,claims/claimReview/0/publisher/site,claims/claimReview/0/url,claims/claimReview/0/reviewDate,claims/claimReview/0/textualRating,claims/claimReview/0/languageCode,claims/claimReview/0/title
Didier Raoult a incité les Africains à ne pas prendre un vaccin contre le coronavirus,Multiple sources,2020-03-31T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-didier-raoult-na-pas-incite-les-africains-ne-pas-prendre-un-vaccin-contre-le-coronavirus,2020-03-31T18:48:00Z,Faux,fr,
Une vidéo montre une cohue dans un magasin Aldi en Allemagne à cause du Coronavirus,Un internaute sur Facebook,2020-03-01T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/03/une-video-de-cohue-dans-un-supermarche-en-allemagne-qui-n-a-rien-a-voir-avec-le-coronavirus_6031691_4355770.html,2020-03-03T14:53:18Z,FAUX,fr,
Nostradamus a prédit l’épidémie de coronavirus dans ses Prophéties en 1555,,2020-03-15T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1674251/coronavirus-covid-nostradamus-prediction-faux,2020-03-18T00:00:00Z,Faux,en,"Non, Nostradamus n'a pas prédit la pandémie de COVID-19 ..."
La Fondation Bill & Melinda Gates et d’autres ont prédit jusqu’à 65 millions de décès liés au Coronavirus – Dans une simulation réalisée il y a 3 mois !,https://www.nouvelordremondial.cc/2020/01/28/la-fondation-bill-melinda-gates-et-dautres-ont-predit-jusqua-65-millions-de-deces-lies-au-coronavirus-dans-une-simulation-realisee-il-y-a-3-mois,2020-01-30T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/monde/2707359-20200131-coronavirus-non-fondation-bill-melinda-gates-predit-jusqu-65-millions-deces-lies-souche-chinoise,2020-01-30T00:00:00Z,C’est faux,fr,
"Melinda Gates déclare : "" C'est avec un cœur rempli de tristesse que j'annonce au monde entier que mon mari est entrain de préparer un grand poison à travers le vaccin pour détruire les Africains """,La citation est partagée sur plusieurs comptes et pages Facebook,2020-04-02T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/high-tech/2753455-20200402-coronavirus-non-melinda-gates-annonce-mari-bill-preparait-vaccin-detruire-africains,2020-04-02T00:00:00Z,C’est faux,fr,
Cette vidéo est censée montrer des cadavres dans la rue pendant l'épidémie du nouveau coronavirus à Wuhan,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/02/19/coronavirus-non-cette-video-ne-montre-pas-des-cadavres-dans-les-rues-de-wuhan_1778790,2020-02-18T17:49:03Z,"Il s'agit de personnes dormant dans la rue, à Shenzhen. .",fr,
Des médias et internautes soupçonnent le Premier ministre slovaque d'avoir le coronavirus.,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/02/25/non-le-premier-ministre-slovaque-n-a-pas-le-coronavirus_1779540,2020-02-25T11:49:01Z,Le gouvernement slovaque dément formellement.,fr,
Cette photo montre-t-elle des cercueils de personnes mortes du coronavirus ?,Plusieurs internautes sur Facebook,2020-03-18T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/20/cette-photo-montrant-des-cercueils-en-italie-n-a-rien-a-voir-avec-l-epidemie-de-covid-19_6033801_4355770.html,2020-03-20T10:37:35Z,FAUX,fr,
"Un homme prétend avoir les preuves que l'Institut Pasteur a ""inventé"" le virus responsable du Covid-19",,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/03/18/non-le-covid-19-n-a-pas-ete-invente-par-l-institut-pasteur_1782209,2020-03-18T15:29:28Z,Tout est faux,fr,
La patinoire a été réquisitionnée pour stocker les morts du coronavirus,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/03/19/covid-19-non-la-patinoire-de-mulhouse-n-a-pas-ete-transformee-en-morgue_1782311,2020-03-19T09:53:59Z,Faux,fr,
"En Allemagne, les gens font la queue devant ce supermarché pour faire des stocks à cause du coronavirus",https://www.facebook.com/philippe.wateaux/videos/621247901789382/,2020-03-03T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/high-tech/2731351-20200303-non-video-montre-foule-devant-supermarche-allemagne-cause-coronavirus,2020-03-03T00:00:00Z,C’est faux,fr,
"Il faudrait éviter de sortir de chez soi jusqu'au 3 avril, car on atteint un « stade d'infection maximale »",,2020-03-22T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1689796/message-avertissement-incubation-covid19-coronavirus-pire-faux,2020-03-30T00:00:00Z,Partiellement faux,en,Attention à ce message sur la période d'incubation de la COVID-19 ...
