claims/text,claims/claimReview/0/publisher/name,claims/claimReview/0/publisher/site,claims/claimReview/0/url,claims/claimReview/0/title,claims/claimReview/0/reviewDate,claims/claimReview/0/textualRating,claims/claimReview/0/languageCode,claims/claimant,claims/claimDate
"Seit Tagen werden Falschnachrichten über das Coronavirus in sozialen Netzwerken verbreitet. In einem derzeit kursierenden Screenshot, der wie ein Ausschnitt aus einem Artikel von ""Zeit Online"" aussieht, heißt es: ""In Plochingen und Eislingen gab es bereits 8 Todesfälle."" Im Göppingen und Esslingen in Baden-Württemberg herrsche zudem Mundschutzpflicht",Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4540002,"Der Text stammt nicht von ""Zeit Online"" und enthält Falschbehauptungen",2020-03-06T00:00:00Z,"Der Text in dem Screenshot stammt nicht von ""Zeit Online"". Eine Mundschutzpflicht dieser Art gibt es nicht. In Deutschland ist derzeit (Stand 5. März) kein Todesfall durch das Coronavirus bekannt.",de,Raku Claudiu,2020-02-28T00:00:00Z
Deutschland in Corona-Panik,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/05/video-diese-menschen-stuermten-aldi-nicht-wegen-des-coronavirus-sondern-wegen-laptops/,"Video: Diese Menschen stürmten Aldi nicht wegen des Coronavirus, sondern wegen Laptops",2020-03-05T18:16:42Z,Falsch. Das Video hat nichts mit Hamsterkäufen wegen der Angst vor dem neuen Coronavirus zu tun. Es handelt sich um eine Aufnahme aus Kiel von 2011.,de,Christin Benecke,2020-02-29T00:00:00Z
Coronavirus befällt ersten Hund,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/04/ja-ein-hund-in-hongkong-wurde-positiv-auf-das-coronavirus-getestet/,"Ja, ein Hund in Hongkong wurde positiv auf das Coronavirus getestet",2020-03-04T12:08:38Z,Größtenteils richtig. Ein Hund in Hongkong wurde laut Behördenangaben „schwach positiv“ auf das Coronavirus getestet. Das Tier zeige aber keine Symptome.,de,Wamiz,2020-02-28T00:00:00Z
Coronavirus-Update: Laut Weltgesundheitsorganisation könnte Übertragung durch Lebensmittel möglich sein,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/02/27/nein-die-who-hat-keine-hinweise-dass-das-coronavirus-ueber-lebensmittel-uebertragen-wird/,"Nein, die WHO hat keine Hinweise, dass das Coronavirus über Lebensmittel übertragen wird",2020-02-27T12:44:37Z,"Teilweise falsch. Es gibt bisher keine Hinweise, dass das Virus über Lebensmittel übertragen wird. Die WHO hat davor nicht gewarnt, sondern rät wie bisher allgemein zu Vorsicht mit rohen Tierprodukten.",de,Medizin Heute,2020-02-24T00:00:00Z
"Das neue Coronavirus Sars-CoV-2 stammt wahrscheinlich von Fledermäusen. Viele der ersten Fälle der Infektionen wurden im Dezember auf den Huanan-Markt in der heute schwer betroffenen Metropole Wuhan in Zentralchina zurückgeführt. Nun wird ein Video in den sozialen Medien verbreitet, das angeblich diesen Markt zeigen soll. Dazu der Kommentar: ""Die Seuche musste ja ausbrechen. Ob China seine Marktgewohnheiten mal ändern sollte?""",Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4531498,"Video zeigt Marktstände in Indonesien, nicht in Wuhan",2020-02-26T00:00:00Z,Die Bilder stammen nicht aus Wuhan. Das Video wurde aus Filmaufnahmen von Märkten in Indonesien zusammengeschnitten.,de,Horst Braun,2020-02-04T00:00:00Z
Coronavirus: China ordnet Schlachtung von Haustieren an,Correctiv,correctiv.org,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/02/14/coronavirus-chinesische-behoerden-fordern-nicht-haustiere-zu-schlachten-teilweise-werden-aber-strassenhunde-getoetet/,"Coronavirus: Chinesische Behörden fordern nicht, Haustiere zu schlachten – teilweise werden aber Straßenhunde getötet",2020-02-14T15:55:55Z,"Teilweise falsch – es gibt keine Belege, dass chinesische Behörden das Töten von Haustieren fordern, dafür aber, dass sie die Tötung von Straßenhunden hinnehmen. Die WHO sagt, von Haustieren gehe keine Gefahr aus.",de,Deine Tierwelt,2020-02-04T00:00:00Z
Fotos von Busfahrern ohne Schutzmasken: Fahren Evakuierte nach Coronavirus-Ausbruch in Krankenhaus,Correctiv,correctiv.org,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/02/07/coronavirus-warum-busfahrer-bei-evakuierten-transport-keine-schutzmasken-trugen/,Coronavirus: Warum Busfahrer bei Evakuierten-Transport keine Schutzmasken trugen,2020-02-07T17:19:42Z,"Größtenteils richtig. Die Fotos zeigen einen Transport von Menschen, die aus Wuhan nach England gebracht wurden. Schutzmasken waren jedoch laut dem englischen Gesundheitsministerium nicht notwendig, es seien genügend Sicherheitsvorkehrungen getroffen worden.",de,Facebook-Post,2020-03-31T00:00:00Z
Studie: Chlordioxid-Lösungen inaktivieren den Coronavirus,Correctiv,correctiv.org,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/02/07/die-einnahme-von-chlordioxid-hilft-nicht-gegen-das-neue-coronavirus/,Die Einnahme von Chlordioxid hilft nicht gegen das neue Coronavirus,2020-02-07T15:22:19Z,Falsch. Die Einnahme von Chlordioxid hilft nicht gegen das Coronavirus oder gegen andere Krankheiten. Es ist gesundheitsschädlich.,de,Connectiv Events,2020-01-28T00:00:00Z
Mit der Verbreitung des neuartigen Coronavirus 2019-nCoV werden gezielt Unwahrheiten über den Erreger verbreitet. Die orale Aufnahme einer Chlordioxid-Lösung soll beispielsweise gegen das Virus wirksam sein,Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4510239,Chlordioxid-Lösungen sind für Menschen schädlich,2020-02-03T00:00:00Z,"Es liegen keine wissenschaftlichen Belege vor, dass die Aufnahme von Chlordioxid Wirkung gegen Krankheiten beim Menschen zeigt. Im Gegenteil: Verschiedene Behörden warnen international davor, Chlordioxid einzunehmen. Laut der Weltgesundheitsbehörde (WHO) gibt es derzeit ""kein spezifisches Medikament, das zur Vorbeugung oder Behandlung des Virus' empfohlen wird""",de,Rainer Taufertshöfer,
"Coronavirus: Wuhan im Zentrum, 5G könnte Auslöser für Todesfälle sein",Correctiv,correctiv.org,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/30/falsche-spekulationen-5g-ist-nicht-schuld-an-todesfaellen-durch-das-coronavirus/,Falsche Spekulationen: 5G ist nicht Schuld an Todesfällen durch das Coronavirus,2020-01-30T15:55:02Z,Falsch. Die Todesfälle durch das neue Coronavirus hatten nichts mit 5G zu tun.,de,Connectiv Events,2020-01-26T00:00:00Z
Seit Wochen hält der Erreger einer neuen Lungenkrankheit die Welt in Atem. Mit der aktuellen Ausbreitung des Coronavirus werden im Netz massiv falsche Theorien verbreitet. So soll etwa die Stiftung von Microsoft-Gründer Bill Gates im konkreten Fall 65 Millionen Tote prognostiziert haben. Zudem gebe es einen direkten Bezug zu einem alten Coronavirus-Patent,Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4506092,Coronavirus und Bill Gates: Falschbehauptungen im Umlauf,2020-01-29T00:00:00Z,"Es gibt keinen Beweis dafür, dass die Gates-Stiftung für das jüngst in China ausgebrochene Coronavirus verantwortlich ist. Zudem hat die Stiftung im Vorfeld auch keine Prognose über zu erwartende Opferzahlen aufgestellt. Ein als angeblicher Beleg vorgebrachtes Patent bezieht sich auf eine andere Coronavirus-Art.",de,Ernst Fleischmann,2020-01-26T00:00:00Z
"Es gibt Patente zum aktuellen Coronavirus, u.a. hat Bill Gates eines und er hat auch den Ausbruch vorhergesagt.",Correctiv,correctiv.org,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/28/nein-bill-gates-hat-kein-patent-auf-das-neue-coronavirus-oder-den-ausbruch-mit-65-millionen-toten-vorhergesagt/,"Nein, Bill Gates hat kein Patent auf das neue Coronavirus oder den Ausbruch mit 65 Millionen Toten vorhergesagt",2020-01-28T18:26:19Z,"Größtenteils falsch: Es gibt vielerlei Zertifikate über Coronaviren, aber die sind für andere Arten, nicht das aktuelle neue Coronavirus aus China. Bill Gates hat den Ausbruch nicht vorher gesagt.",de,,
