text;claimant;claimDate;claimReview_0_publisher_name;claimReview_0_publisher_site;claimReview_0_url;claimReview_0_title;claimReview_0_reviewDate;claimReview_0_textualRating;claimReview_0_languageCode;claimReview_1_publisher_name;claimReview_1_publisher_site;claimReview_1_url;claimReview_1_title;claimReview_1_reviewDate;claimReview_1_textualRating;claimReview_1_languageCode;claimReview_2_publisher_name;claimReview_2_publisher_site;claimReview_2_url;claimReview_2_title;claimReview_2_reviewDate;claimReview_2_textualRating;claimReview_2_languageCode;claimReview_3_publisher_name;claimReview_3_publisher_site;claimReview_3_url;claimReview_3_title;claimReview_3_reviewDate;claimReview_3_textualRating;claimReview_3_languageCode
The novel Coronavirus is not a new disease, photos of vials of coronavirus vaccines for animals is evidence.;Social Media users;2020-03-25T11:00:27Z;Boom;boomlive.in;https://www.boomlive.in/world/coronavirus/false-animal-vaccines-prove-covid-19-is-not-a-new-viral-disease-7354;False: Animal Vaccines Prove COVID-19 Is Not A New Viral Disease;2020-03-25T11:00:27Z;False;en;;;;;;;;;;;;;;;;;;;;;
Post claims the video clip is last message of deceased Pakistani doctor Osama Riyaz who had contracted Coronavirus while treating patients;Social media pages;2020-03-25T09:44:51Z;Boom;boomlive.in;https://www.boomlive.in/fake-news/no-this-is-not-the-last-message-of-deceased-pakistani-doctor-osama-riaz-7359;No, This Is Not The Last Message Of Deceased Pakistani Doctor Osama Riaz;2020-03-25T09:44:51Z;False;en;;;;;;;;;;;;;;;;;;;;;
Advice sent to NHS staff on how to prevent novel coronavirus;Multiple sources;2020-03-18T00:00:00Z;AFP Fact Check;factcheck.afp.com;https://factcheck.afp.com/hoax-circulates-uk-hospital-has-issued-special-advice-staff-prevent-covid-19-infection;Hoax circulates that UK hospital has issued special advice to staff to prevent COVID-19 infection;2020-03-25T09:50:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Saddam Hussein predicted coronavirus;Twitter user;2020-03-25T10:00:00Z;Times of India;timesofindia.indiatimes.com;https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-saddam-hussein-warn-about-coronavirus-30-years-ago/articleshow/74809388.cms;FACT CHECK: Did Saddam Hussein warn about coronavirus 30 years ago?;2020-03-25T10:00:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Vďaka tomu, že v dôsledku pandémie koronavíru prišlo do Benátok menej turistov, sa v benátskych kanáloch objavili delfíny.;;2020-03-19T00:00:00Z;Fakty - AFP.com;fakty.afp.com;https://fakty.afp.com/delfiny-nepriplavali-do-benatskych-kanalov-ale-k-brehom-sardinskeho-cagliari;Delfíny nepriplávali do benátskych kanálov, ale k brehom sardínskeho Cagliari;2020-03-25T08:30:00Z;Nepravda;sk;;;;;;;;;;;;;;;;;;;;;
30 साल पहले सद्दाम हुसैन ने कोरोना को लेकर नहीं दी थी चेतावनी;social media users;2020-03-25T07:08:48Z;Navbharat Times;navbharattimes.indiatimes.com;https://navbharattimes.indiatimes.com/viral-adda/fake-news-buster/no-saddam-hussein-did-not-warned-about-coronavirus-attack-by-us-30-years-ago-38456/;Fact Check: 30 साल पहले सद्दाम हुसैन ने कोरोना पर किया था आगाह?;2020-03-25T07:08:48Z;false;hi;;;;;;;;;;;;;;;;;;;;;
"""Speaker Pelosi & Democrats are attempting to give themselves a $25 million raise"" through the coronavirus stimulus package.";Social media posts;2020-03-25T00:00:00Z;FactCheck.org;factcheck.org;https://www.factcheck.org/2020/03/false-claim-of-congressional-pay-raises-in-stimulus-bill/;False Claim of Congressional Pay Raises in Stimulus Bill;;False;en;;;;;;;;;;;;;;;;;;;;;
An audio message lists five ways people can prevent the novel coronavirus.;Chain message;2020-03-23T00:00:00Z;PolitiFact;politifact.com;https://www.politifact.com/factchecks/2020/mar/25/chain-message/audio-shared-facebook-messenger-spreads-false-info/;Audio shared on Facebook Messenger spreads false information about coronavirus prevention;;False;en;;;;;;;;;;;;;;;;;;;;;
“Bill Gates told us about the coronavirus in 2015.”;Facebook posts;2020-03-15T00:00:00Z;PolitiFact;politifact.com;https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/bill-gates-warned-2015-we-were-unprepared-infectio/;Bill Gates warned in 2015 that we were unprepared for an infectious virus;;Mostly True;en;;;;;;;;;;;;;;;;;;;;;
Dettol bisa membunuh virus corona baru;Berbagai sumber;2020-03-18T00:00:00Z;Periksa Fakta;periksafakta.afp.com;https://periksafakta.afp.com/produsen-dettol-belum-menguji-keefektifan-produk-produknya-terhadap-virus-corona-jenis-baru;Produsen Dettol belum menguji keefektifan produk-produknya terhadap virus corona jenis baru;2020-03-25T04:00:00Z;Sesat;id;;;;;;;;;;;;;;;;;;;;;
Esta foto es de una persona muerta por coronavirus en la calle de Italia;;;ColombiaCheck;colombiacheck.com;https://colombiacheck.com/chequeos/no-esta-foto-no-es-de-un-muerto-por-coronavirus-en-una-calle-de-italia;No, esta foto no es de un 'muerto por coronavirus' en una calle de ...;2020-04-02T00:21:48Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
18 nations including USA and UK want PM Modi to lead a coronavirus task force;Maharashtra BJP General Secretary Atul Bhatkhalkar;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/no-us-and-uk-have-not-selected-pm-modi-to-lead-a-coronavirus-task-force/;No, US and UK have not selected PM Modi to lead a coronavirus ...;2020-04-02T00:00:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
El científico Yoshihiro Kawaoka es el creador del coronavirus.;;;Maldita.es;maldita.es;https://maldita.es/malditobulo/2020/04/01/cientifico-yoshihiro-kawaoka-creador-coronavirus/;;2020-04-02T00:00:00Z;Falso;en;;;;;;;;;;;;;;;;;;;;;
"Melinda Gates déclare : "" C'est avec un cœur rempli de tristesse que j'annonce au monde entier que mon mari est entrain de préparer un grand poison à travers le vaccin pour détruire les Africains """;La citation est partagée sur plusieurs comptes et pages Facebook;2020-04-02T00:00:00Z;20 Minutes;20minutes.fr;https://www.20minutes.fr/high-tech/2753455-20200402-coronavirus-non-melinda-gates-annonce-mari-bill-preparait-vaccin-detruire-africains;;2020-04-02T00:00:00Z;C’est faux;fr;;;;;;;;;;;;;;;;;;;;;
"Pope Francis kissed the feet of “black people"" and asked forgiveness during novel coronavirus scare.";Facebook users;2020-04-02T00:00:00Z;IndiaToday;indiatoday.in;https://www.indiatoday.in/fact-check/story/viral-video-pope-francis-kissing-feet-people-relation-coronavirus-1662655-2020-04-02;Fact Check: Viral video of Pope kissing feet of people has no ...;2020-04-02T00:00:00Z;Mostly false;en;;;;;;;;;;;;;;;;;;;;;
कोरोना से संक्रमित मां प्रोटेक्टिव गियर पहन कर बच्चे को गले लगा रही;सोशल मीडिया यूज़र्स;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/hindi/photo-from-1985-where-mother-in-protective-gear-holds-her-baby-given-coronavirus-spin/;फ़ैक्ट-चेक : कोरोना से संक्रमित मां प्रोटेक्टिव गियर पहन कर बच्चे को गले लगा रही है?;2020-03-25T00:00:00Z;False;hi;;;;;;;;;;;;;;;;;;;;;
पाकिस्तान में वायरस से मरने वाले 26 साल के डॉक्टर;सोशल मीडिया यूज़र्स;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/hindi/vidoe-of-a-corona-virus-patient-named-mubashir-viral-as-that-of-deceased-26-year-old-doctor-riaz/;UK में रह रहे पेशेंट का वीडियो पाकिस्तान में कोरोना से मरने वाले 26 साल के डॉक्टर के नाम से वायरल;2020-03-25T00:00:00Z;Half True;hi;;;;;;;;;;;;;;;;;;;;;
